State;Capital;Largest city;Population;Area;LandArea;Percentage of area in US;Size
Alabama;Montgomery;Birmingham;4833722;135767;13117;1.53%;Small
Alaska;Juneau;Anchorage;735132;1723337;1477950;0.23%;Large
Arizona;Phoenix;Phoenix;6626624;295233;294207;2.04%;Large
Arkansas;Little Rock;Little Rock;2959373;137733;13477;0.93%;Small
California;Sacramento;Los Angeles;38332521;423968;403466;11.91%;Large
Colorado;Denver;Denver;5268367;269602;268432;1.61%;Large
Connecticut;Hartford;Bridgeport;3596080;14356;12541;1.14%;Small
Delaware;Dover;Wilmington;925749;6446;5048;0.29%;Small
Florida;Tallahassee;Jacksonville;19552860;170312;138888;6.01%;Large
Georgia;Atlanta;Atlanta;9992167;15391;148958;3.10%;Large
Hawaii;Honolulu;Honolulu;1404054;28314;16635;0.43%;Small
Idaho;Boise;Boise;1612136;216443;214044;0.51%;Large
Illinois;Springfield;Chicago;12882135;149997;143794;4.10%;Large
Indiana;Indianapolis;Indianapolis;6570902;94327;92789;2.07%;Small
Iowa;Des Moines;Des Moines;3090416;145746;144669;0.97%;Small
Kansas;Topeka;Wichita;2893957;213099;211755;0.91%;Large
Kentucky;Frankfort;Louisville;4395295;104656;102268;1.39%;Small
Louisiana;Baton Rouge;New Orleans;4625470;135658;111898;1.45%;Small
Maine;Augusta;Portland;1328302;91634;79883;0.42%;Small
Maryland;Annapolis;Baltimore;5928814;32131;25141;1.85%;Small
Massachusetts;Boston;Boston;6692824;27335;20202;2.09%;Small
Michigan;Lansing;Detroit;9895622;250488;146435;3.16%;Large
Minnesota;St. Paul;Minneapolis;5420380;225163;206233;1.70%;Large
Mississippi;Jackson;Jackson;2991207;125438;12153;0.95%;Small
Missouri;Jefferson City;Kansas City;6021988;18054;178041;1.91%;Large
Montana;Helena;Billings;1015165;380832;376962;0.32%;Large
Nebraska;Lincoln;Omaha;1868516;20033;198973;0.58%;Large
Nevada;Carson City;Las Vegas;2790136;28638;284331;0.86%;Large
New Hampshire;Concord;Manchester;1323459;24214;23188;0.42%;Small
New Jersey;Trenton;Newark;8899339;22592;19047;2.81%;Small
New Mexico;Santa Fe;Albuquerque;2085287;314917;31416;0.66%;Large
New York;Albany;New York;19651127;141297;122056;6.19%;Small
North Carolina;Raleigh;Charlotte;9848060;139391;12592;3.05%;Small
North Dakota;Bismarck;Fargo;723393;183107;178712;0.21%;Large
Ohio;Columbus;Columbus;11570808;116099;10583;3.69%;Small
Oklahoma;Oklahoma City;Oklahoma City;3850568;181038;17766;1.20%;Large
Oregon;Salem;Portland;3930065;2548;248608;1.22%;Large
Pennsylvania;Harrisburg;Philadelphia;12773801;119279;115884;4.06%;Small
Rhode Island;Providence;Providence;1051511;4002;2678;0.34%;Small
South Carolina;Columbia;Columbia;4774839;82931;77858;1.48%;Small
South Dakota;Pierre;Sioux Falls;844877;19973;19635;0.26%;Large
Tennessee;Nashville;Memphis;6495978;109152;106798;2.03%;Small
Texas;Austin;Houston;26448193;69566;676588;8.04%;Large
Utah;Salt Lake City;Salt Lake City;2900872;219882;212819;0.88%;Large
Vermont;Montpelier;Burlington;62663;24905;23872;0.20%;Small
Virginia[G];Richmond;Virginia Beach;8260405;110787;102279;2.56%;Small
Washington;Olympia;Seattle;6971406;184661;17212;2.15%;Large
West Virginia;Charleston;Charleston;1854304;62755;62258;0.59%;Small
Wisconsin;Madison;Milwaukee;5742713;169634;140269;1.82%;Large
Wyoming;Cheyenne;Cheyenne;582658;253335;25147;0.18%;Large
